ham,That just seriously ruined my night..
ham,"@JessleaC I no they are so funny ..! I love your pictures you take , you are really good with a camera Hun xx"
ham,@honkwas might drive so we could go subway or McDonalds if you want?
ham,"RT @4dize: my friends keep tellin me, that if u really love her, uve gotta set her free. and if she returns in kind, ill know she's mine..."
ham,That @brad_frost post is bourne out by my experience on a current project: testing on *real* devices has uncovered important things.
ham,why tf do i keep waking up every 2 hours -.-
ham,I love playing a girl Fav song &amp; watch them go Crazzzyyyyy
ham,Yup late bout to write some music. Working on this EP for y'all being released #SometimeInTheSummer
ham,i be up all night whole crew on here. cuz i don't really know who imma lose this year. man i love my team
ham,@FGW passenger fainted on 734am bristol gloucester train nearing filton Passengers v good at helping. Main prob is heating on &amp;  overcrowded
ham,Make a change from other artist and actually talk about your OWN life! Get hot beats to go with your song http://t.co/XLb8tgor0n
ham,"""@TheBlogz: @K_B_Production nigga. You need yo diaper changed? Cause you sound hard over the phone nephew."" Why You Wanna Change It? NO!"
ham,@DanielleLopez14 @BritttanyBetchh and now Casey is laying on top of my arm so I have to tweet with one hand on my gigantic phone #fml
ham,"Where words fails, music Speaks !"
ham,"If you ever sleep with @MilaKunis you'd have to leave the lights on, otherwise it'd be like sex with @MegGriffiin"
ham,RT @AndieForbes_xx: I love the south African accent is so nice
ham,RT @WSJ: Today's smartphones have roughly the same computing power as a desktop computer from 2005. http://t.co/PRklvGTBTR
ham,RT @__Skully: I love how angry my brother gets towards my art teacher HE FEELS MY PAIN
spam,"I've collected 12,293 gold coins! http://t.co/MXyllUOlZa #android, #androidgames, #gameinsight"
ham,@HaleyMatthew02 how were u playing on PokerStars if u live in AZ?
ham,"people that nickname their first name on twitter,  sweet jesus #awaywithya"
ham,RT @L_Carranzaa: if only I was on the plane with ally and sariah .... IT WOULD BE THE MOST FUNNEST PLANE RIDE EVER
ham,"And make the fireflies danceRT @Gufroni_M: Lift your open hand , strike up the band ""egootth: Lead me out on the moonlit floor"
ham,RT @deadc4t_: people put way too much up on Facebook
ham,#nowplaying God Forbid: constitution of treason. Forgot how good this is! @gforbid
ham,RT @JpdrummerIMB: #nowplaying Paramore - Still into You
spam,"I've collected 3,550 gold coins! http://t.co/wLuV7dlnFy #ipad, #ipadgames, #gameinsight"
ham,"Looks like Martha Stewart is going on match to find a date. Hmmm, now thats a high maintenance nightmare if I ever saw one.my opinion only!"
ham,"RT @hazardeden10: Tomorrow, important game for to go in the finale. C'mon CFC"
ham,Just three more weeks....ugh
ham,I want to lay you down in a bed of roses for tonite I sleep on a bed of nails
spam,"I've collected 100,224 gold coins! http://t.co/t2FoETunxK #android, #androidgames, #gameinsight"
